X,Y,fid,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,DENSIDADE,tocantins_,tocantin_1,tocantin_2,tocantin_3,icon_url
-49.3112531469217,-9.47880770215327,1,"1700251",Abreulândia,TO,1906.295000000000073,1.361000000000000,TO,"17","251","2594",./0.png
-47.513372054592,-6.48857877451975,2,"1700301",Aguiarnópolis,TO,236.792000000000002,29.106000000000002,TO,"17","301","6892",./0.png
-48.9082946924467,-11.3311826814399,3,"1700350",Aliança do Tocantins,TO,1580.999000000000024,3.381000000000000,TO,"17","350","5346",./0.png
-47.2110189751202,-11.4295052343007,4,"1700400",Almas,TO,4007.152000000000044,1.742000000000000,TO,"17","400","6979",./0.png
-49.111793928676,-12.407495758167,5,"1700707",Alvorada,TO,1207.201000000000022,6.955000000000000,TO,"17","707","8396",./0.png
-48.1866383485903,-6.2326785342085,6,"1701002",Ananás,TO,1581.057999999999993,6.004000000000000,TO,"17","1002","9492",./1.png
-47.9131648901936,-6.43579394888278,7,"1701051",Angico,TO,447.548999999999978,7.718000000000000,TO,"17","1051","3454",./0.png
-48.0000403056933,-9.98659800166396,8,"1701101",Aparecida do Rio Negro,TO,1159.034000000000106,4.183000000000000,TO,"17","1101","4848",./0.png
-48.6323301476643,-6.9455237466723,9,"1701309",Aragominas,TO,1168.212999999999965,4.906000000000000,TO,"17","1309","5731",./0.png
-49.5055399858094,-8.93909876279937,10,"1701903",Araguacema,TO,2774.505000000000109,2.579000000000000,TO,"17","1903","7155",./0.png
-49.6963538913304,-12.8398584694463,11,"1702000",Araguaçu,TO,5155.222999999999956,1.642000000000000,TO,"17","2000","8467",./0.png
-48.5878015769711,-7.33129874862675,12,"1702109",Araguaína,TO,4004.646000000000186,45.792000000000002,TO,"17","2109","183381",./2.png
-48.5245408309929,-6.79097040702842,13,"1702158",Araguanã,TO,834.833999999999946,6.939000000000000,TO,"17","2158","5793",./0.png
-48.1048217964948,-5.66584050316377,14,"1702208",Araguatins,TO,2633.277999999999793,13.736000000000001,TO,"17","2208","36170",./3.png
-48.9998300595434,-7.72341722701854,15,"1702307",Arapoema,TO,1558.137999999999920,4.246000000000001,TO,"17","2307","6616",./0.png
-47.0477744635043,-12.8171926276914,16,"1702406",Arraias,TO,5803.085000000000036,1.815000000000000,TO,"17","2406","10534",./1.png
-47.9281545229367,-5.49781764269289,17,"1702554",Augustinópolis,TO,388.810000000000002,47.948999999999998,TO,"17","2554","18643",./1.png
-46.4328811672326,-12.6466362247336,18,"1702703",Aurora do Tocantins,TO,696.193999999999960,5.434000000000000,TO,"17","2703","3783",./0.png
-47.7661086195838,-5.64939842111452,19,"1702901",Axixá do Tocantins,TO,153.538999999999987,63.743000000000002,TO,"17","2901","9787",./1.png
-47.8568371569585,-7.17454067331917,20,"1703008",Babaçulândia,TO,1790.297000000000025,5.958000000000000,TO,"17","3008","10666",./1.png
-48.675544426595,-7.90301432941045,21,"1703057",Bandeirantes do Tocantins,TO,1540.540999999999940,2.332000000000000,TO,"17","3057","3592",./0.png
-47.5786079034821,-7.71776885633459,22,"1703073",Barra do Ouro,TO,1105.839999999999918,4.189000000000000,TO,"17","3073","4632",./0.png
